,forum,thread_title,thread_url,author,member_status,verified_owner,joined,messages,location,cars,comment,date_published,sentiment,de number,lucid_model_name,match_score
277,Charging,Range Performance SF to LA,https://lucidowners.com/threads/range-performance-sf-to-la.3358/,sansonoma,Active Member,True,2021-12-14,137,"Palo Alto, CA",Lucid Air Grand Touring,"Will let you know. Driving back tomorrow, with a passenger, too.",2022-11-02,0.0,,Air GT,100.0
272,Charging,Range Performance SF to LA,https://lucidowners.com/threads/range-performance-sf-to-la.3358/,E LUCID 8,Active Member,True,2022-03-15,105,,e53 Mercedes,I have been getting low m/kw 2.6-3.1 as well. Some have said it improves after about 2000 miles. I have about 2200 mi on the car and so far it has been the same. I do mostly regular street driving in traffic.,2022-11-02,0.0,,,
485,Lucid Classifieds,Wanted to buy: Lucid Air Dream Edition Range,https://lucidowners.com/threads/wanted-to-buy-lucid-air-dream-edition-range.260/,Paladin732,Active Member,True,2021-11-21,654,,Taycan,I’m guessing you are going to have a very hard time finding a DE Range. I assume most went with Performance,2021-12-30,0.0,295.0,,
276,Charging,Range Performance SF to LA,https://lucidowners.com/threads/range-performance-sf-to-la.3358/,DeaneG,Active Member,True,2022-01-03,1884,"Silicon Valley, CA","AGT, XC40 P8 EV","Freeway range falls approximately with the square of (road speed + wind speed).
Our country's CCS network has a long way to go. EA is busy replacing their most troublesome fast-charging stations with new 2nd-generation units. The recent $7.5B federal funding should approximately double the number of DCFC locations available to us over the next three years. The big unknown is if/when/how Tesla will take part in that with their V4 Tesla/CCS supercharger.",2022-11-02,0.0,,Air GT,90.0
279,Charging,Range Performance SF to LA,https://lucidowners.com/threads/range-performance-sf-to-la.3358/,sansonoma,Active Member,True,2021-12-14,137,"Palo Alto, CA",Lucid Air Grand Touring,"That makes sense. I looked at it all up and over. You lose a lot more uphill than you get back downhill. The San Diego to SF brag still mystifies me, tho",2022-11-02,0.0,,Air GT,100.0
484,Lucid Classifieds,Wanted to buy: Lucid Air Dream Edition Range,https://lucidowners.com/threads/wanted-to-buy-lucid-air-dream-edition-range.260/,Dream,New Member,False,2021-12-03,5,,,"
Thank you for your hint but I checked and it´s a Performance.",2021-12-30,0.0,,,
482,Lucid Classifieds,Wanted to buy: Lucid Air Dream Edition Range,https://lucidowners.com/threads/wanted-to-buy-lucid-air-dream-edition-range.260/,Dream,New Member,False,2021-12-03,5,,,"bump...still on the chase...but needs to be a Dream Editon Range, not a Performance",2021-12-29,0.0,,,
283,Charging,Range Performance SF to LA,https://lucidowners.com/threads/range-performance-sf-to-la.3358/,sansonoma,Active Member,True,2021-12-14,137,"Palo Alto, CA",Lucid Air Grand Touring,Gonna check that out now. Thanks for the tip.,2022-11-02,0.0,,Air GT,100.0
483,Lucid Classifieds,Wanted to buy: Lucid Air Dream Edition Range,https://lucidowners.com/threads/wanted-to-buy-lucid-air-dream-edition-range.260/,hydbob,Staff Member,True,2021-11-14,7262,,Dream P,"Some guy on the other forum has a FE with range wheels, not sure it's Range edition ir not. Asking 250k",2021-12-29,0.0,33.0,Air Dream Edition,100.0
1104,User Interface,OBDII port,https://lucidowners.com/threads/obdii-port.320/,hydbob,Staff Member,True,2021-11-14,7262,,Dream P,"As far as I can tell, it's in the rear, right side of the trunk under a cover. That's where the service guys pulled data.",2021-12-28,0.0,33.0,Air Dream Edition,100.0
1217,Charging,Lucid Air charging rate on 350 KW fast charger,https://lucidowners.com/threads/lucid-air-charging-rate-on-350-kw-fast-charger.3210/,Kfederico,Active Member,False,2022-03-24,125,Dallas,"Lucid Air GT, Corvette(s)","Agreed, In most cases, I was the only customer, such as in the last case I took pictures and screen shots to try to get Lucid off their bums. After a week of no response, I called them again yesterday. They said their ""Battery Team"" was looking at it, but made no date or service offer.",2022-10-26,0.0,,Air GT,90.0
1206,Charging,Lucid Air charging rate on 350 KW fast charger,https://lucidowners.com/threads/lucid-air-charging-rate-on-350-kw-fast-charger.3210/,Kfederico,Active Member,False,2022-03-24,125,Dallas,"Lucid Air GT, Corvette(s)",I have had the problem on EA stations as well as EVGo stations.,2022-10-25,0.0,,Air GT,90.0
374,Charging,Battery Range,https://lucidowners.com/threads/battery-range.395/,hydbob,Staff Member,True,2021-11-14,7262,,Dream P,"Hey Bill, you sound super frustrated and unhappy. Out of curiosity, what was your expectation purchasing a 1st gen and within the first 100 cars? Also, how long are you willing to put up with the current iteration before you just sell the car?",2022-01-16,0.0,33.0,Air Dream Edition,100.0
1119,User Interface,OBDII port,https://lucidowners.com/threads/obdii-port.320/,Bel,Active Member,True,2022-04-17,325,WA,"Altima, XC90, Air GT","Does anyone know where the Lucid Air OBD port is located? See screenshot for shape and pinout. I just got this plug from Progressive to monitor my driving habits and hopefully will give low insurance premiums.
View attachment 5821View attachment 5822",2022-10-23,0.0,0.0,Air GT,90.0
1278,User Interface,Lucid Connectivity,https://lucidowners.com/threads/lucid-connectivity.3003/,EthanTrull,Member,False,2022-07-27,52,,Lucid Air Dream Edition,"I just stumbled across this on Lucia’s current website. What literature category does this fall into? Current events? Fantasy? True crime? Historical fiction?

Throughout your trip, you can interact with Lucid Air in a variety of ways. With Alexa Built-in, you get deep integration of in-car controls just by talking. Alexa can help you adjust your seat heaters, lighting, sunshades, navigation, and more. DreamDrive driver assistance offers peace of mind. And Surreal Sound™, Lucid’s available 21-speaker immersive audio system, elevates the entertainment experience. Air is even compatible with Apple CarPlay, Android Auto, and countless other apps.",2022-10-15,0.0,,Air Dream Edition,100.0
1102,User Interface,OBDII port,https://lucidowners.com/threads/obdii-port.320/,Lucken,Active Member,False,2021-01-31,1342,Long Island,"22 BMW i4, Pure on order",Owners were doing it with the I-Pace.,2021-12-28,0.0,,Air Pure,90.0
80,General Discussions,Lucid teases EPA Range Test for Lucid Air,https://lucidowners.com/threads/lucid-teases-epa-range-test-for-lucid-air.29/,Hawk,Active Member,False,2020-06-20,144,,,"I was also told, some time ago, that they were doing one major rewrite of their site to coincide with the Sept 9th launch and that the configurator would be made available at the same time. My sales associate did tell me recently that the ""special invitation"" going out to Dream Edition reservation holders would contain special content. Maybe that is what they are referring to? I'll let you know when I receive a response.",2020-08-11,0.0,,,
289,Charging,Range Performance SF to LA,https://lucidowners.com/threads/range-performance-sf-to-la.3358/,sansonoma,Active Member,True,2021-12-14,137,"Palo Alto, CA",Lucid Air Grand Touring,Let me know if that happens,2022-11-02,0.0,,Air GT,100.0
1105,User Interface,OBDII port,https://lucidowners.com/threads/obdii-port.320/,dawktah LucidGT,Active Member,True,2021-09-16,1688,Indiana,AGT Zenith Red,"
That's a real driver useless location.",2021-12-28,0.0,,Air GT,90.0
481,Lucid Classifieds,Wanted to buy: Lucid Air Dream Edition Range,https://lucidowners.com/threads/wanted-to-buy-lucid-air-dream-edition-range.260/,JHairdreamp,New Member,False,2021-12-24,4,,Dream edition performance,I have an infinite black dream edition performance being delivered in the next week or so. Willing to sell brand new off the truck. Make me an offer.,2021-12-24,0.0,,Air Dream Edition,90.0
280,Charging,Range Performance SF to LA,https://lucidowners.com/threads/range-performance-sf-to-la.3358/,DeaneG,Active Member,True,2022-01-03,1884,"Silicon Valley, CA","AGT, XC40 P8 EV","Have you checked A Better Route Planner to see if its estimates matched your experience? Not sure if you have to pay the $5 ""premium"" level to tell it you plan to drive 75mph.",2022-11-02,0.0,,Air GT,90.0
480,Lucid Classifieds,Wanted to buy: Lucid Air Dream Edition Range,https://lucidowners.com/threads/wanted-to-buy-lucid-air-dream-edition-range.260/,hmp10,Active Member,True,2020-03-07,2991,"Naples, FL","Model S Plaid, Odyssey","I opened the forum this morning to find three different threads with posts trying to buy or sell Lucids.

Can these threads at least be consolidated into a single thread? Or better yet, why not use eBay Motors or another appropriate site to buy and sell your cars instead of this forum?",2021-12-19,0.0,154.0,,
450,Charging,SURVEY: Stated Range When Charged to 100%,https://lucidowners.com/threads/survey-stated-range-when-charged-to-100.1108/,sansonoma,Active Member,True,2021-12-14,137,"Palo Alto, CA",Lucid Air Grand Touring,"1. Type of car - Grand Touring
2. Tire size 19""
3. Current mileage - 690
4. Stated range when your car is charged to 100%. - 516",2022-11-04,0.0,,Air GT,100.0
1396,Ordering / Pricing / Production / Delivery,Seat Differences between Trims,https://lucidowners.com/threads/seat-differences-between-trims.3397/,PolarAir,New Member,False,2022-10-11,16,,,"I know there's been a lot of discussion about seats. According to the SA at my recent test drive, here's the differences:

AGT has massage, vent, heat, adjustable side/seat bolsters, power headrest, and seat extender.
AT has vent, heat, and seat extender.
AP has heat.

On cars that lack the adjustments available on the AGT, the functions are set at the middle of the range of motion found on the AGT. The seats should otherwise look the same, except that the AP seats aren't perforated.

I did mention to him that the ability to spec an AGT seat as an extra cost option would be very much appreciated. He mentioned that was a very common request, but that there was no guidance one that. I guess we'll find out on the 15th.",2022-11-04,0.0,,,
1397,Ordering / Pricing / Production / Delivery,Seat Differences between Trims,https://lucidowners.com/threads/seat-differences-between-trims.3397/,Sid432,Active Member,False,2022-06-05,208,New Jersey,AT | Q5 | MDX | MURANO,We are glad that AP has the seats ,2022-11-04,0.0,,Air Touring,86.0
479,Lucid Classifieds,Wanted to buy: Lucid Air Dream Edition Range,https://lucidowners.com/threads/wanted-to-buy-lucid-air-dream-edition-range.260/,Bill55,Active Member,True,2021-12-17,849,"Greenville, SC",Lucid Air P White,"
225k white performance edition 21 wheels. [email protected] email if interested.",2021-12-18,0.0,40.0,Air Pure,90.0
200,General Automotive / EV Talk,"The New Audi Q8 e-tron: Improved Efficiency and Range, Refined Design",https://lucidowners.com/threads/the-new-audi-q8-e-tron-improved-efficiency-and-range-refined-design.3457/,hydbob,Staff Member,True,2021-11-14,7261,,Dream P,"Apparently, the interior is not refreshed?",2022-11-08,0.0,33.0,Air Dream Edition,100.0
478,Lucid Classifieds,Wanted to buy: Lucid Air Dream Edition Range,https://lucidowners.com/threads/wanted-to-buy-lucid-air-dream-edition-range.260/,Bill55,Active Member,True,2021-12-17,849,"Greenville, SC",Lucid Air P White,I have a white Performance model. Took Delivery on 12/10. It will have about 500 miles on it after this weekend. Located in San Diego. 235k,2021-12-17,0.0,40.0,Air Pure,90.0
199,General Automotive / EV Talk,"The New Audi Q8 e-tron: Improved Efficiency and Range, Refined Design",https://lucidowners.com/threads/the-new-audi-q8-e-tron-improved-efficiency-and-range-refined-design.3457/,Alex,Active Member,True,2020-08-18,740,"Tucson, AZ","Lucid DE R –Tesla X,3,Y","Here is the Audi Press Release regarding the Audi Q8 e-tron with up to 373 mile range. It's probably the WLTP or NEDC range cycle. I wonder how this will compare to the Lucid Gravity? 
",2022-11-08,0.0,153.0,Air Dream Edition,90.0
201,General Automotive / EV Talk,"The New Audi Q8 e-tron: Improved Efficiency and Range, Refined Design",https://lucidowners.com/threads/the-new-audi-q8-e-tron-improved-efficiency-and-range-refined-design.3457/,Slam08,Active Member,False,2022-04-10,557,,2022 Jaguar I Pace,The e tron is fine vehicle. It’s smooth and quiet. And incredibly boring to drive. Great for most people.,2022-11-08,0.0,,,
250,User Interface,Range estimation information with 2.0.24,https://lucidowners.com/threads/range-estimation-information-with-2-0-24.3440/,Adnillien,Staff Member,True,2020-08-23,1654,"Paradise Valley, AZ",Lucid GT,You can always email or text customer care. Your comments will get passed along inside of Lucid. That is a better way than hoping someone from Lucid reads your post.,2022-11-09,0.0,,Air GT,100.0
477,Lucid Classifieds,Wanted to buy: Lucid Air Dream Edition Range,https://lucidowners.com/threads/wanted-to-buy-lucid-air-dream-edition-range.260/,CADreamer,New Member,False,2021-10-04,7,,Dream Performance Gold,I have a Dream Eureka Gold Performance Edition that will be delivered within the next few weeks I'd be willing to entertain an offer on. Please PM me if seriously interested.,2021-12-12,0.0,,Air Dream Edition,90.0
476,Lucid Classifieds,Wanted to buy: Lucid Air Dream Edition Range,https://lucidowners.com/threads/wanted-to-buy-lucid-air-dream-edition-range.260/,Dream,New Member,False,2021-12-03,5,,,bump,2021-12-05,0.0,,,
474,Lucid Classifieds,Wanted to buy: Lucid Air Dream Edition Range,https://lucidowners.com/threads/wanted-to-buy-lucid-air-dream-edition-range.260/,borski,Staff Member,True,2021-11-19,4020,,"Air DE-P, Zenith Red, 21""","
That implies supply, which there isn’t any of. Lots of demand, extremely limited supply = the price is whatever someone is willing to pay for it. 

230k may very well have been underpriced. If anything, it’s a floor for negotiation; how much of a floor depends on demand ",2021-12-03,0.0,241.0,Air Dream Edition,90.0
472,Lucid Classifieds,Wanted to buy: Lucid Air Dream Edition Range,https://lucidowners.com/threads/wanted-to-buy-lucid-air-dream-edition-range.260/,Paladin732,Active Member,True,2021-11-21,654,,Taycan,I’d recommend posting what you are willing to pay. You would get more hits.,2021-12-03,0.0,295.0,,
471,Lucid Classifieds,Wanted to buy: Lucid Air Dream Edition Range,https://lucidowners.com/threads/wanted-to-buy-lucid-air-dream-edition-range.260/,Dream,New Member,False,2021-12-03,5,,,I´m looking for a Lucid Air Dream Edition Performance or Range that has already been delivered or will be delivered shortly. I´m willing to pay a decent markup. Please contact me.,2021-12-03,0.0,,,
1398,Ordering / Pricing / Production / Delivery,Seat Differences between Trims,https://lucidowners.com/threads/seat-differences-between-trims.3397/,Slam08,Active Member,False,2022-04-10,557,,2022 Jaguar I Pace,"I would be surprised if the seats have different attachments for the GT and touring. They prolly use the same mounts and connections. 

Programming would be a different story.",2022-11-09,0.0,,,
623,General Discussions,Battery/charging,https://lucidowners.com/threads/battery-charging.3487/,Bubbie,New Member,False,2022-09-10,10,,Lucid Grand Touring,Believe newest updates were made in last few days.,2022-11-10,0.0,,Air GT,95.0
621,General Discussions,Battery/charging,https://lucidowners.com/threads/battery-charging.3487/,Bobby,Staff Member,True,2022-04-11,1893,Poway (San Diego),"AGT, I Pace, DB9",Are you waking it up with the app? Is the fob or phone key close to the car? Vampire drain has been minimal lately. What software version?,2022-11-10,0.0,,Air GT,90.0
624,General Discussions,Battery/charging,https://lucidowners.com/threads/battery-charging.3487/,Bobby,Staff Member,True,2022-04-11,1893,Poway (San Diego),"AGT, I Pace, DB9","Far enough, in my case maybe 20ft. If where you store the key or phone is very close to the car, it will wake it up. Every time you use the app, it wakes it up. This uses battery.",2022-11-10,0.0,,Air GT,90.0
254,User Interface,Range estimation information with 2.0.24,https://lucidowners.com/threads/range-estimation-information-with-2-0-24.3440/,Bill55,Active Member,True,2021-12-17,849,"Greenville, SC",Lucid Air P White,"I’m running cold pressure of 42psi as recommended. If you get below 39 you’re going to have the low pressure warning light on. My results are about same as Car and Driver


",2022-11-11,0.0,40.0,Air Pure,90.0
257,User Interface,Range estimation information with 2.0.24,https://lucidowners.com/threads/range-estimation-information-with-2-0-24.3440/,Bill55,Active Member,True,2021-12-17,849,"Greenville, SC",Lucid Air P White,Yes I’m aware I have a DE P with 21 inch rims. I’m getting same about same % of EPA as car and driver. Actually a little lower. About 350 miles on a full charge.,2022-11-11,0.0,40.0,Air Pure,90.0
256,User Interface,Range estimation information with 2.0.24,https://lucidowners.com/threads/range-estimation-information-with-2-0-24.3440/,maractwin,Active Member,True,2022-02-13,139,Boston,"Air GT, 1978 Beetle Conv","If you're saying 42psi, that means you have 21 inch wheels, and the stated range is 446, not 516. The longer range only applies to 19 inch wheels. So instead of getting 79% of the EPA range, you're getting closer to 90%.",2022-11-11,0.0,,Air GT,90.0
473,Lucid Classifieds,Wanted to buy: Lucid Air Dream Edition Range,https://lucidowners.com/threads/wanted-to-buy-lucid-air-dream-edition-range.260/,Dream,New Member,False,2021-12-03,5,,,"A Lucid sold for 230k https://chargedautomotive.com/2022-...&mxyr=&slid=223&vid=191050&pg=1&ord=0&sort=od

So that should be the negotiation base.",2021-12-03,0.0,,,
262,User Interface,Range estimation information with 2.0.24,https://lucidowners.com/threads/range-estimation-information-with-2-0-24.3440/,hellolucid,Active Member,True,2021-12-20,653,,GT,"I usually subtract 30% of total range for a better estimate. If my car shows 500miles remaining, I would estimate 350miles of actual road range.",2022-11-14,0.0,,Air GT,100.0
260,User Interface,Range estimation information with 2.0.24,https://lucidowners.com/threads/range-estimation-information-with-2-0-24.3440/,hellolucid,Active Member,True,2021-12-20,653,,GT,yea. i noticed that their remaining range is a simple estimation of what the current estimation is minus the distance to destination.,2022-11-14,0.0,,Air GT,100.0
274,Charging,Range Performance SF to LA,https://lucidowners.com/threads/range-performance-sf-to-la.3358/,GEWC,Active Member,True,2022-01-09,468,"Los Gatos, CA",Grand Touring,"It is all about how you drive. Play around with the car, learn how to maximize range, and you should see better results. I'm curious also how the northbound route compares.",2022-11-02,0.0,,Air GT,100.0
475,Lucid Classifieds,Wanted to buy: Lucid Air Dream Edition Range,https://lucidowners.com/threads/wanted-to-buy-lucid-air-dream-edition-range.260/,Paladin732,Active Member,True,2021-11-21,654,,Taycan,That’s why I suggested if anyone is interested in selling theirs to do something like Doug’s car auction website. I’m very curious what it goes for :-D,2021-12-03,0.0,295.0,,
144,General Discussions,Pure and Touring Ranges,https://lucidowners.com/threads/pure-and-touring-ranges.3542/,MorganB,Active Member,True,2022-03-07,519,"Dallas, TX",Touring Silver Santa Cruz,Wait the dallas studio is OPEN? Are you serious?,2022-11-15,0.0,,Air Touring,90.0
134,General Discussions,Pure and Touring Ranges,https://lucidowners.com/threads/pure-and-touring-ranges.3542/,ricmoe,New Member,False,2022-07-11,7,,,"You can't even compare those two: 

Model 3 = $50k base
Touring = $107k base",2022-11-15,0.0,,,
1086,Ordering / Pricing / Production / Delivery,Ordering and Delivery: Lucid Air Pure,https://lucidowners.com/threads/ordering-and-delivery-lucid-air-pure.3560/,changinator,Active Member,True,2021-11-30,277,"Santa Monica, CA",Lucid Air Pure,"yay! thanks for starting this thread! 😊 ❤️
to update my state/province, I'm in Santa Monica (Los Angeles), CA",2022-11-15,0.0,,Air Pure,100.0
84,General Discussions,Lucid teases EPA Range Test for Lucid Air,https://lucidowners.com/threads/lucid-teases-epa-range-test-for-lucid-air.29/,hmp10,Active Member,True,2020-03-07,2991,"Naples, FL","Model S Plaid, Odyssey","Just heard from my sales rep. She was as tight-lipped with further information about the configuration of the test car as your guy.

All the recent announcements about key aspects of the car -- aerodynamic numbers, ADAS, and range rating -- have come on a Tuesday. There are four Tuesdays left. I suspect this is the last piece of really significant information we're going to hear before the reveal, unless the EPA confirms before then that they will apply the Tesla reduction factor to the Lucid Air to give it a 550+ mile rating.",2020-08-11,0.0,154.0,,
81,General Discussions,Lucid teases EPA Range Test for Lucid Air,https://lucidowners.com/threads/lucid-teases-epa-range-test-for-lucid-air.29/,Hawk,Active Member,False,2020-06-20,144,,,"Here is the response I just received regarding the battery pack. Sounds like we will nedd to wait until Sept 9th to learn more. - ""While you will see full specifications shared on pack size in a few weeks, we have stated publicly in the past that the Lucid Air’s largest available battery pack would be 130kWh, and due to the efficiency gains we have been able to achieve with careful engineering, the battery pack is now considerably smaller.""

The reference to, ""Please be sure to personalize your Lucid Dream Ahead launch experience,"" refers to the fact that Dream Edition reservation holders will receive a personalized VIP experience to the launch event.",2020-08-11,0.0,,,
79,General Discussions,Lucid teases EPA Range Test for Lucid Air,https://lucidowners.com/threads/lucid-teases-epa-range-test-for-lucid-air.29/,hmp10,Active Member,True,2020-03-07,2991,"Naples, FL","Model S Plaid, Odyssey","Please let us know what you hear back from your sales rep. I'm pretty sure it was a deliberate decision not to disclose the battery pack size. I just emailed my sales rep to see if she could tell me how closely the test car was configured to the Dream Edition in terms of motor configuration, tire/wheel sizes, etc. My guess is that will kept under wraps, too, for the time being, but I'll post anything she can tell me. (It's not yet 7:00 a.m. out there yet.)

Earlier my sales rep did tell me that there would be no changes to the company website until the reveal on September 9, so I'm guessing the configurator will come then or shortly thereafter.

Geez, I'm doing a lot of guessing here. I need to calm down a bit.",2020-08-11,0.0,154.0,,
138,General Discussions,Pure and Touring Ranges,https://lucidowners.com/threads/pure-and-touring-ranges.3542/,Babyrocko1908,Active Member,True,2022-08-17,735,"Harrisburg, PA",Lucid Air Touring,Great question. Jealousy and folks just being miserable.,2022-11-15,0.0,,Air Touring,100.0
82,General Discussions,Lucid teases EPA Range Test for Lucid Air,https://lucidowners.com/threads/lucid-teases-epa-range-test-for-lucid-air.29/,hmp10,Active Member,True,2020-03-07,2991,"Naples, FL","Model S Plaid, Odyssey","Thanks. I'm sure they've started tightening the screws on what their sales people can communicate so as to keep tension building until September 9.

It's working, by the way . . . .",2020-08-11,0.0,154.0,,
78,General Discussions,Lucid teases EPA Range Test for Lucid Air,https://lucidowners.com/threads/lucid-teases-epa-range-test-for-lucid-air.29/,Hawk,Active Member,False,2020-06-20,144,,,"Just emailed my sales associate to see if he can provide any info on the battery pack.

This was also included at the very end of the announcement - ""We’re only weeks away from September 9, when we will launch the Lucid brand and reveal the production Lucid Air. Please be sure to personalize your Lucid Dream Ahead launch experience.""
Does this mean that the configurator will be up soon???",2020-08-11,0.0,,,
83,General Discussions,Lucid teases EPA Range Test for Lucid Air,https://lucidowners.com/threads/lucid-teases-epa-range-test-for-lucid-air.29/,St Bernard,New Member,False,2020-08-10,20,,,Just got this message from my Sales Associate after my note about pricing. “We are going to be announcing pricing and options at the global reveal on September 9th and I anticipate that we will give early reservation holders access to the configurator shortly afterwards“.,2020-08-11,0.0,,,
85,General Discussions,Lucid teases EPA Range Test for Lucid Air,https://lucidowners.com/threads/lucid-teases-epa-range-test-for-lucid-air.29/,Hawk,Active Member,False,2020-06-20,144,,,"According to Bloomberg initial pricing, according to Lucid, will be around $150k. Also, executives said initial customer deliveries are now anticipated in the Spring of 2021 due to two to three months of COVID related delays.

Here is the article - https://www.bloomberg.com/news/arti...tric-car-test-ride-500-mile-range-has-arrived",2020-08-11,0.0,,,
74,General Discussions,Lucid teases EPA Range Test for Lucid Air,https://lucidowners.com/threads/lucid-teases-epa-range-test-for-lucid-air.29/,hmp10,Active Member,True,2020-03-07,2991,"Naples, FL","Model S Plaid, Odyssey","That's an interesting question. Rawlinson certainly talks a good game in terms of market positioning, P&L issues, building brand identity, etc. We won't really know what his business chops are for a while, I suspect. In any case, his retaining the CTO title when picking up CEO duties suggests to me that his heart and ultimately his mind may really stay turned more in that direction.

That could be a good thing. American car makers hit their apogee as businesses when they were run by engineers who put engineering first. They began to fail as businesses when MBA's and people from the finance ranks took over the C-suite. Cadillac produced one of the longest lists of technology breakthroughs in automotive history and earned its claim to be the standard of the world. No engineer running that company would have ever let its brand get sullied by the likes of a Cadillac Cimarron.

On a related note, I hope Lucid does not try to go public any time soon. They need to get a robust product and a strong brand built before having to deal with the pressures the stock market puts on management. With 53% Saudi ownership of the company, they may not have to resort to public markets for capital for a while yet.",2020-08-09,0.0,154.0,,
89,New Members Introduction,"New Member, tossup between Model S Refreshed Long Range, and Lucid Touring",https://lucidowners.com/threads/new-member-tossup-between-model-s-refreshed-long-range-and-lucid-touring.126/,slojotaa,New Member,False,2021-02-14,1,,Maserati Levanti & Ghibli,"Not sure yet, and waiting for their funding and merger finale, and seeing/feeling/touching the car. Wondering what will be reality vs. marketing and hype! Time will tell.",2021-02-14,0.0,,,
133,General Discussions,Pure and Touring Ranges,https://lucidowners.com/threads/pure-and-touring-ranges.3542/,Spin Doctor,Member,False,2022-02-26,65,DC / NH,"'20 Model S LR+, '93 968","Dear Santa, please please please can I get my Pure this year so I can definitely get the tex credit?

Unlikely, I know ",2022-11-15,0.0,,,
73,General Discussions,Lucid teases EPA Range Test for Lucid Air,https://lucidowners.com/threads/lucid-teases-epa-range-test-for-lucid-air.29/,Hawk,Active Member,False,2020-06-20,144,,,I often refer to Glass Door as well. No question he is a brilliant engineer. Question is can he run a Company with a business perspective as well?,2020-08-09,0.0,,,
1083,Ordering / Pricing / Production / Delivery,Ordering and Delivery: Lucid Air Pure,https://lucidowners.com/threads/ordering-and-delivery-lucid-air-pure.3560/,Pax,Member,False,2022-04-27,52,,Air Touring,"Reservation Date October 31, 2021. 
Confirmed August 10, 2022.
AWD w/ 20"" Aero Lite
Fathom Blue w/ Mojave & Alcantara
DDPro
SSPro",2022-11-15,0.0,,Air Touring,100.0
143,General Discussions,Pure and Touring Ranges,https://lucidowners.com/threads/pure-and-touring-ranges.3542/,DBV,Active Member,False,2022-03-11,255,,2021 Tesla Model S LR,"
Interesting, as my refresh Model S charges to 402 at 100% and have owned it almost a year now.",2022-11-15,0.0,,,
1085,Ordering / Pricing / Production / Delivery,Ordering and Delivery: Lucid Air Pure,https://lucidowners.com/threads/ordering-and-delivery-lucid-air-pure.3560/,HariK,Active Member,True,2022-05-11,1002,"Fremont, CA","Pure,LS430 Ocean Extreme","Reservation Date November 5, 2021.
Confirmed August 10, 2022.
AWD w/ 19""
Zenith Red / Mojave & Alcantara
DDPro
SSPro
Fremont, CA",2022-11-15,0.0,,Air Pure,90.0
142,General Discussions,Pure and Touring Ranges,https://lucidowners.com/threads/pure-and-touring-ranges.3542/,ricmoe,New Member,False,2022-07-11,7,,,"Yes, I know there is a standard. I guess I worded that incorrectly. My point was (and to illustrate if further), I am on my 2nd Tesla and both times the number they publish are not what you get (425 in this case).",2022-11-15,0.0,,,
66,General Discussions,Lucid teases EPA Range Test for Lucid Air,https://lucidowners.com/threads/lucid-teases-epa-range-test-for-lucid-air.29/,Joe,Staff Member,False,2017-07-19,308,Texas,,"



 https://www.facebook.com/video.php?v=587614368555300



",2020-08-07,0.0,,,
1084,Ordering / Pricing / Production / Delivery,Ordering and Delivery: Lucid Air Pure,https://lucidowners.com/threads/ordering-and-delivery-lucid-air-pure.3560/,wklglider,Member,False,2022-11-07,88,,Pure RWD w/o DDP,"Reservation Date December 21, 2021.
Confirmed August 10, 2022.
RWD w/ 19"" Aero Range
Stellar White w/ Mojave & Alcantara
SSPro
Milpitas, CA",2022-11-15,0.0,0.0,Air Pure,90.0
1092,Ordering / Pricing / Production / Delivery,Ordering and Delivery: Lucid Air Pure,https://lucidowners.com/threads/ordering-and-delivery-lucid-air-pure.3560/,HariK,Active Member,True,2022-05-11,1002,"Fremont, CA","Pure,LS430 Ocean Extreme",🙏,2022-11-16,0.0,,Air Pure,90.0
1094,Ordering / Pricing / Production / Delivery,Ordering and Delivery: Lucid Air Pure,https://lucidowners.com/threads/ordering-and-delivery-lucid-air-pure.3560/,MnA_Guy,New Member,False,2022-11-02,5,,Lucid Air Pure,"Reservation Date January 22, 2022
Confirmed August 10, 2022.
AWD w/ 19"" Aero Range
Cosmos silver
SSPro
Fremont, CA",2022-11-16,0.0,,Air Pure,100.0
1091,Ordering / Pricing / Production / Delivery,Ordering and Delivery: Lucid Air Pure,https://lucidowners.com/threads/ordering-and-delivery-lucid-air-pure.3560/,MHDave,Active Member,True,2022-10-20,313,San Jose CA,"Touring, F150, R1200RT","Your order will say confirm instead of view. I forget exactly what the wording is but it is obvious. And I got an email as well, ""Finalize your Lucid Air [...] Design"". Mine said Touring, and I assume for the Pure it will so indicate.",2022-11-16,0.0,,Air Touring,90.0
1093,Ordering / Pricing / Production / Delivery,Ordering and Delivery: Lucid Air Pure,https://lucidowners.com/threads/ordering-and-delivery-lucid-air-pure.3560/,nck,Member,False,2022-07-21,31,"Phoenix, AZ","Air Pure, 328i, Taycan","Reservation Date May 12, 2022.
Confirmed August 10, 2022.
RWD w/ 20""
Zenith Red 
Phoenix, AZ",2022-11-16,0.0,,Air Pure,90.0
1087,Ordering / Pricing / Production / Delivery,Ordering and Delivery: Lucid Air Pure,https://lucidowners.com/threads/ordering-and-delivery-lucid-air-pure.3560/,DaBears,Member,True,2022-09-14,33,,"17-GMC, 22-XC60, Touring","Reservation date November 2, 2021
Confirmed August 10, 2022
AWD w/20"" Aero Lite
Quantum Grey / Mojave & Alcantara
SSP
Valley Lee, MD.",2022-11-16,0.0,,Air Touring,90.0
